N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations
28630857,Princess Mononoke,Anime,"Sci-Fi & Fantasy Anime, Family, Action Anime, Japanese, Action & Adventure, Anime Features",1997,U/A 13+,"Japanese [Original], English, Hindi","80217130, 60023642, 81725555, 70019062, 60032294, 70293674, 60027106, 70216227, 70142821, 70028883, 60027393, 557010"
60000165,Erin Brockovich,Drama,"Drama, Based on Real Life, Social Issue Dramas, US",2000,U/A 16+,"Hindi, English [Original]","60022922, 937499, 80994899, 5670418, 60022967, 60000417, 81140933, 268371, 60000880, 786137, 80149312, 81028975"
60000393,Final Destination,Horror,"Horror, US",2000,A,"Hindi, English [Original]","60026114, 80177770, 70291092, 939827, 70043240, 80993029, 70206131, 70178620, 70113006, 81753224, 81198941, 81644122"
60000415,Scream 3,Horror,"Horror, US",2000,U/A 16+,English [Original],"80164456, 70001995, 80177770, 81639205, 81325689, 70291092, 1181550, 939827, 81081050, 80993029, 81570912, 81012366"
60000417,The Green Mile,Drama,"Crime, Drama, Based on Books, US",1999,A,"Hindi, English [Original]","880640, 80081151, 937499, 80066891, 80200047, 60011152, 786137, 81239779, 80149312, 21878564, 268371, 70101375"
60000521,Mission: Impossible II,Action,"Action & Adventure, Spy, US",2000,U/A 16+,"English [Original], Hindi, English - Audio Description","70041961, 81649988, 80236314, 70298735, 70173048, 765912, 20559714, 81665878, 70259170, 70127226, 80038359, 80013870"
60000722,Phir Bhi Dil Hai Hindustani,Drama,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic, Social Issue Dramas",2000,U/A 13+,Hindi [Original],"17671454, 60036112, 17517355, 70057651, 80091866, 60036752, 70083535, 80156935, 70000196, 80074065, 60036750, 70115621"
60000880,28 Days,Drama,"Drama, Comedy, US",2000,A,"Hindi, English [Original]","60022922, 21304015, 60020782, 70044867, 80047616, 70093223, 60000165, 60026122, 828487, 70103758, 60036227, 60001947"
60000901,How the Grinch Stole Christmas,Kids,"Family, Children & Family, Comedy, Based on Books, US",2000,U/A 7+,"English [Original], Hindi, English - Audio Description","81623335, 80199682, 80183187, 81309564, 81500345, 80996790, 81762622, 81028225, 81029733, 70033005, 80988988, 80057250"
60001650,Men in Black,Sci-Fi,"Sci-Fi, Comedy, Action & Adventure, US",1997,U/A 13+,"Hindi, English [Original]","70217910, 70184054, 70027007, 70060015, 70097577, 80037476, 81057361, 80211726, 215309, 20559714, 81762779, 17236928"
60001867,The Art of War,Action,"Crime, Action & Adventure, Spy, US",2000,A,"Hindi, English [Original]","877351, 60024924, 70101697, 80021752, 81086887, 70023960, 609910, 27828200, 265929, 70114342, 70099114, 80200961"
60001947,Whatever It Takes,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2000,A,"Hindi, English [Original]","60033290, 60022922, 70167075, 60033311, 70044867, 70098895, 70093223, 60026122, 60022266, 70103758, 828487, 70117577"
60002082,Muqaddar ka Faisla,Drama,"Hindi-Language, Bollywood, Crime, Drama, Thriller",1987,U/A 16+,Hindi [Original],"80158546, 80156939, 80157086, 20257393, 80157134, 60002088, 80158479, 81244365, 80158481, 235527, 24081514, 24012660"
60002088,Duniya,Drama,"Hindi-Language, Bollywood, Drama, Action & Adventure",1984,U/A 13+,Hindi [Original],"80158543, 80158546, 80156939, 80157086, 20254278, 20257393, 80157134, 81244365, 80158481, 235527, 60002082, 24012660"
60002332,Rudy,Drama,"Family, Drama, Based on Real Life, Sports, US",1993,U/A 13+,"Hindi, English [Original]","70201437, 80990660, 70243457, 81426668, 81107362, 80174972, 80096984, 81274014, 81183756, 81001287, 81460842, 80242342"
60002360,Jurassic Park,Action,"Sci-Fi, Based on Books, Action & Adventure, US",1993,U/A 16+,"English [Original], Hindi, English - Audio Description, Tamil","81044417, 80029196, 70178621, 80139562, 70297757, 60036256, 60003016, 80216309, 60004473, 11819467, 20559714, 80237937"
60003016,The Lost World: Jurassic Park,Action,"Sci-Fi, Based on Books, Action & Adventure, US",1997,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81044417, 81245455, 70178621, 80029196, 80139562, 60036256, 60002360, 80216309, 60004473, 70297757, 80237937, 81557031"
60003388,Snatch,Comedy,"British, Comedy",2000,A,"Hindi, English [Original]","60022922, 81458416, 81333286, 70127228, 80200267, 80142090, 80015343, 60033343, 215309, 81437051, 81004274, 81511779"
60004467,Lara Croft: Tomb Raider,Action,"Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81361105, 81388316, 81307099, 70307658, 80161352, 60029176, 20559714, 765912, 81416533, 70127226, 70142888, 70097578"
60004471,Evolution,Comedy,"Sci-Fi, Comedy, US",2001,U/A 13+,"Hindi, English [Original], Tamil","70217910, 70219498, 60001650, 81277430, 60031216, 81489818, 70039180, 215309, 11819467, 80158764, 215318, 70097578"
60004473,Jurassic Park III,Action,"Sci-Fi, Based on Books, Action & Adventure, US",2001,U/A 16+,"English [Original], Hindi, English - Audio Description","80228280, 81044417, 80029196, 70178621, 60020549, 80139562, 60036256, 60002360, 80216309, 81767635, 70297757, 80237937"
60004480,The Lord of the Rings: The Fellowship of the Ring,Fantasy,"Based on Books, Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original]","81631823, 60004483, 60020549, 70217912, 60004484, 70056440, 80189685, 80161352, 20559714, 80991090, 70269488, 70097578"
60004481,Spider-Man,Action,"Sci-Fi, Action & Adventure, US",2002,U/A 13+,"English [Original], English - Audio Description","80092423, 81251375, 70047101, 70155571, 70027007, 80166369, 81004276, 80005628, 80091595, 80187362, 70208599, 80217006"
60004483,The Lord of the Rings: The Two Towers,Fantasy,"Based on Books, Action & Adventure, US",2002,U/A 16+,"Hindi, English [Original]","60004480, 81631823, 60020549, 60004484, 70217912, 70056440, 80189685, 20559714, 81279312, 80993105, 70269488, 70097578"
60004484,The Lord of the Rings: The Return of the King,Fantasy,"Based on Books, Action & Adventure, US",2003,U/A 16+,"Hindi, English [Original]","60004480, 81631823, 60004483, 60020549, 70217912, 80189685, 70056440, 80161352, 20559714, 80993105, 70269488, 70097578"
60010341,Fatal Attraction,Thriller,"Thriller, US",1987,A,"English [Original], Hindi, English - Audio Description","950149, 81478642, 81553437, 60022967, 80998968, 8188050, 70113299, 8179348, 81592177, 81346196, 81068703, 70294663"
60011152,The Godfather,Drama,"Crime, Drama, Based on Books, US",1972,A,"English [Original], Hindi, English - Audio Description","80175798, 880640, 937499, 70305903, 80025172, 60000417, 80088678, 80002479, 70132721, 80185760, 1151721, 268371"
60020549,The Mummy Returns,Action,"Action & Adventure, US",2001,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81631823, 70178621, 60001650, 80084088, 60004467, 70217912, 70056440, 60036256, 80161352, 60029176, 20559714, 70097578"
60020747,The Fast and the Furious,Action,"Crime, Action & Adventure, US",2001,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70044885, 70184054, 81227923, 60027713, 70103761, 80142090, 70140907, 80124486, 70023960, 81073022, 81762792, 70059988"
